school,total_enrollment,year,asian,black,hispanic,white,other,poverty
P.S. 015 Roberto Clemente,190,2013-14,9,72,104,3,2,171
P.S. 015 Roberto Clemente,183,2014-15,8,65,107,2,1,169
P.S. 015 Roberto Clemente,176,2015-16,9,57,105,2,3,149
P.S. 015 Roberto Clemente,178,2016-17,14,51,105,4,4,152
P.S. 015 Roberto Clemente,190,2017-18,20,52,110,6,2,161
P.S. 019 Asher Levy,285,2013-14,41,56,148,30,10,213
P.S. 019 Asher Levy,270,2014-15,30,47,158,27,8,200
P.S. 019 Asher Levy,270,2015-16,27,55,169,16,3,217
P.S. 019 Asher Levy,271,2016-17,24,51,180,15,1,207
P.S. 019 Asher Levy,257,2017-18,23,49,166,16,3,197
P.S. 020 Anna Silver,631,2013-14,223,54,314,24,16,448
P.S. 020 Anna Silver,633,2014-15,231,53,309,25,15,411
P.S. 020 Anna Silver,581,2015-16,204,46,286,24,21,353
P.S. 020 Anna Silver,540,2016-17,175,52,264,27,22,315
P.S. 020 Anna Silver,497,2017-18,147,51,264,16,19,356
P.S. 034 Franklin D. Roosevelt,393,2013-14,26,108,246,12,1,373
P.S. 034 Franklin D. Roosevelt,395,2014-15,25,110,245,14,1,381
P.S. 034 Franklin D. Roosevelt,394,2015-16,18,113,249,14,0,384
P.S. 034 Franklin D. Roosevelt,350,2016-17,19,102,216,11,2,348
P.S. 034 Franklin D. Roosevelt,333,2017-18,11,106,204,9,3,325
The STAR Academy - P.S.63,179,2013-14,13,45,101,17,3,145
The STAR Academy - P.S.63,199,2014-15,14,41,124,20,0,166
The STAR Academy - P.S.63,203,2015-16,9,40,131,21,2,172
The STAR Academy - P.S.63,200,2016-17,8,37,129,21,5,165
The STAR Academy - P.S.63,203,2017-18,6,37,128,24,8,166
P.S. 064 Robert Simon,287,2013-14,17,65,173,27,5,259
P.S. 064 Robert Simon,282,2014-15,20,51,185,21,5,266
P.S. 064 Robert Simon,258,2015-16,19,49,169,19,2,240
P.S. 064 Robert Simon,247,2016-17,13,48,167,16,3,239
P.S. 064 Robert Simon,245,2017-18,11,51,167,13,3,223
P.S. 110 Florence Nightingale,416,2013-14,57,40,183,116,20,221
P.S. 110 Florence Nightingale,419,2014-15,54,41,186,122,16,217
P.S. 110 Florence Nightingale,394,2015-16,63,39,170,106,16,213
P.S. 110 Florence Nightingale,383,2016-17,70,37,161,105,10,221
P.S. 110 Florence Nightingale,379,2017-18,64,37,168,99,11,235
P.S. 134 Henrietta Szold,318,2013-14,84,63,162,9,0,294
P.S. 134 Henrietta Szold,255,2014-15,65,49,133,8,0,238
P.S. 134 Henrietta Szold,263,2015-16,56,53,145,7,2,244
P.S. 134 Henrietta Szold,354,2016-17,55,71,213,10,5,319
P.S. 134 Henrietta Szold,297,2017-18,33,64,182,11,7,269
P.S. 140 Nathan Straus,393,2013-14,22,50,310,10,1,314
P.S. 140 Nathan Straus,380,2014-15,21,40,302,15,2,290
P.S. 140 Nathan Straus,376,2015-16,20,47,292,13,4,296
P.S. 140 Nathan Straus,382,2016-17,18,45,304,11,4,287
P.S. 140 Nathan Straus,371,2017-18,21,46,292,10,2,324
P.S. 142 Amalia Castro,384,2013-14,24,53,285,7,15,375
P.S. 142 Amalia Castro,386,2014-15,21,55,294,6,10,372
P.S. 142 Amalia Castro,354,2015-16,23,40,277,8,6,341
P.S. 142 Amalia Castro,356,2016-17,17,42,285,4,8,349
P.S. 142 Amalia Castro,340,2017-18,8,43,281,1,7,331
P.S. 184m Shuang Wen,668,2013-14,523,20,54,55,16,474
P.S. 184m Shuang Wen,665,2014-15,499,21,58,58,29,459
P.S. 184m Shuang Wen,663,2015-16,471,24,77,57,34,468
P.S. 184m Shuang Wen,672,2016-17,468,30,81,57,36,461
P.S. 184m Shuang Wen,684,2017-18,475,25,92,50,42,462
P.S. 188 The Island School,501,2013-14,12,140,327,21,1,437
P.S. 188 The Island School,482,2014-15,9,151,297,24,1,412
P.S. 188 The Island School,489,2015-16,9,145,312,21,2,424
P.S. 188 The Island School,445,2016-17,10,141,278,15,1,382
