,nutrient,unit,acorn,almond,brazil_nut,cashew,chestnut,chia,coconut,flaxseed,ginkgo,hazelnut,macadamia,peanut,pecan,pine_nut,pistachio,pumpkin_seed,sunflower_seed,walnut
0,Water,g,27.9,4.41,3.42,5.20,43.95,5.8,46.99,6.96,55.2,5.31,1.36,6.5,3.52,55.2,4.37,5.23,4.73,4.07
1,Energy,kcal,387.0,579,659.0,553,224.0,486.0,354.0,534.0,182.0,628.0,718.0,567.0,691.0,182.0,560.0,559.0,584.0,654.0
2,Protein,g,6.15,21.15,14.32,18.22,4.2,16.54,3.33,18.29,4.32,14.95,7.91,25.8,9.17,4.32,20.16,30.23,20.78,15.23
3,Total lipid (fat),g,23.86,49.93,67.1,43.85,1.11,30.74,33.49,42.16,1.68,60.75,75.77,49.24,71.97,1.68,45.32,49.05,51.46,65.21
4,"Carbohydrate, by difference",g,40.75,21.55,11.74,30.19,49.07,42.12,15.23,28.88,37.6,16.7,13.82,16.13,13.86,37.6,27.17,10.71,20.0,13.71
5,"Calcium, Ca",mg,41.0,269,160.0,37,18.0,631.0,14.0,255.0,2.0,114.0,85.0,92.0,70.0,2.0,105.0,46.0,78.0,98.0
6,"Iron, Fe",mg,0.79,3.71,2.43,6.68,1.41,7.72,2.43,5.73,1.0,4.7,3.69,4.58,2.53,1.0,3.92,8.82,5.25,2.91
7,"Magnesium, Mg",mg,62.0,270,376.0,292,84.0,335.0,32.0,392.0,27.0,163.0,130.0,168.0,121.0,27.0,121.0,592.0,325.0,158.0
8,"Phosphorus, P",mg,79.0,481,725.0,593,96.0,860.0,113.0,642.0,124.0,290.0,188.0,376.0,277.0,124.0,490.0,1233.0,660.0,346.0
9,"Potassium, K",mg,539.0,733,659.0,660,447.0,407.0,356.0,813.0,510.0,680.0,368.0,705.0,410.0,510.0,1025.0,809.0,645.0,441.0
10,"Sodium, Na",mg,0.0,1,3.0,12,3.0,16.0,20.0,30.0,7.0,0.0,5.0,18.0,0.0,7.0,1.0,7.0,9.0,2.0
11,"Zinc, Zn",mg,0.51,3.12,4.06,5.78,0.87,4.58,1.1,4.34,0.34,2.45,1.3,3.27,4.53,0.34,2.2,7.81,5.0,3.09
12,"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.7,0.5,36.0,1.6,3.3,0.6,15.0,6.3,1.2,0.0,1.1,15.0,5.6,1.9,1.4,1.3
13,Thiamin,mg,0.11,0.205,0.62,0.423,0.16,0.62,0.07,1.64,0.22,0.64,1.2,0.64,0.66,0.22,0.87,0.27,1.48,0.34
14,Riboflavin,mg,0.12,1.138,0.04,0.058,0.18,0.17,0.02,0.16,0.09,0.11,0.16,0.14,0.13,0.09,0.16,0.15,0.36,0.15
15,Niacin,mg,1.83,3.618,0.3,1.062,0.8,8.83,0.54,3.08,6.0,1.8,2.47,12.07,1.17,6.0,1.3,4.99,8.34,1.12
16,Vitamin B-12,µg,0.0,0.00,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"Vitamin A, IU",IU,39.0,2,0.0,0,202.0,54.0,0.0,0.0,558.0,20.0,0.0,0.0,56.0,558.0,516.0,16.0,50.0,20.0
18,"Fatty acids, total saturated",g,3.1,3.802,16.13,7.783,0.16,3.33,29.7,3.66,0.32,4.46,12.06,6.28,6.18,0.32,5.91,8.66,4.46,6.13
19,"Fatty acids, total monounsaturated",g,15.11,31.551,23.88,23.797,0.58,2.31,1.42,7.53,0.62,45.65,58.88,24.43,40.8,0.62,23.26,16.24,18.53,8.93
20,"Fatty acids, total polyunsaturated",g,4.6,12.329,24.4,7.845,0.29,23.66,0.37,28.73,0.62,7.92,1.5,15.56,21.61,0.62,14.38,20.98,23.14,47.17
21,Cholesterol,mg,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
